Year,sample_date,date,race,name,place,time_m,time_s,avg_yr_time_s,Ratio,range,supershoe_era,frac_year,gender,elevation_gain_m,elevation_loss_m,net_elevation_m,temp_at_start_c,wind_direction,wind_mph,rainy_y_or_n,"stack data, code supershoe_era, weather variables, elevation",
2010,1-Jan,28-Feb,Tokyo,Masakazu Fujiwara,1,2:12:19,7939,7960,1.00503841793677,40,0,2010.16,0,98,134,-36,4,S,6,N,lm(time~year.decimal+year.decimal^2+factor(Race)+factor(Name)+Place+Supershoe_era+weather_controls,
2010,1-Jan,28-Feb,Tokyo,Fujiwara Arata,2,2:12:34,7954,,,,0,2010.16,0,98,134,-36,4,S,6,N,"women's data, lm()",
2010,1-Jan,28-Feb,Tokyo,Atsushi Sato,3,2:12:35,7955,,,,0,2010.16,0,98,134,-36,4,S,6,N,"Nike sponsorship (0,1)",
2010,1-Jan,28-Feb,Tokyo,Yuki Kawauchi,4,2:12:36,7956,,,,0,2010.16,0,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Tomoya Adachi,5,2:12:46,7966,,,,0,2010.16,0,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Joseph Muwaniki,6,2:12:53,7973,,,,0,2010.16,0,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Rachid Kirsi,7,2:12:59,7979,,,,0,2010.16,0,98,134,-36,4,S,6,N,,
2011,1-Jan,27-Feb,Tokyo,Hailu Mekonnen,1,2:07:35,7655,7754,1.02782495101241,213,0,2011.16,0,98,134,-36,8,SW,2,N,lasso regression for robustness,
2011,1-Jan,27-Feb,Tokyo,Paul Biwott,2,2:08:17,7697,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Yuki Kawauchi,3,2:08:37,7717,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Yoshinori Oda,4,2:09:03,7743,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Cyrus Njubi,5,2:09:10,7750,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Felix Limo,6,2:10:50,7850,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Takaaki Koda,7,2:11:08,7868,,,,0,2011.16,0,98,134,-36,8,SW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Michael Kipyego,1,2:07:37,7657,7699,1.01449653911454,111,0,2012.15,0,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Arata Fujiwara,2,2:07:48,7668,,,,0,2012.15,0,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Stephen Kiprotich,3,2:07:50,7670,,,,0,2012.15,0,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Haile Gebreselassie,4,2:08:17,7697,,,,0,2012.15,0,98,134,-36,6,SSW,2,N,,
