year,sample_date,date,event_m,rank,mark,time_s,athlete,dob,country,position,age,venue,score,frac,frac_year,range,ratio
2024,1-Jan,1-Dec,Marathon,1,2:02:05,7325,Sabastian Kimaru SAWE,16-Mar-95,KEN,1,29.73424658,Valencia (ESP),1278,0.916666667,2024.916667,279,1.038088737
2024,1-Jan,3-Mar,Marathon,2,2:02:16,7336,Benson KIPRUTO,17-Mar-91,KEN,1,32.98630137,Tokyo (JPN),1274,0.172222222,2024.172222,,
2024,1-Jan,1-Dec,Marathon,3,2:02:38,7358,Deresa GELETA,14-Jan-96,ETH,2,28.90136986,Valencia (ESP),1267,0.916666667,2024.916667,,
2024,1-Jan,13-Oct,Marathon,4,2:02:44,7364,John KORIR,2-Dec-96,KEN,1,27.88219178,"Chicago, IL (USA)",1265,0.783333333,2024.783333,,
2024,1-Jan,3-Mar,Marathon,5,2:02:55,7375,Timothy KIPLAGAT,18-Sep-93,KEN,2,30.47671233,Tokyo (JPN),1262,0.172222222,2024.172222,,
2024,1-Jan,29-Sep,Marathon,6,2:03:17,7397,Milkesa MENGESHA,16-Apr-00,ETH,1,24.47123288,Berlin (GER),1255,0.744444444,2024.744444,,
2024,1-Jan,29-Sep,Marathon,7,2:03:22,7402,CyBrian KOTUT,6-Jun-92,KEN,2,32.3369863,Berlin (GER),1253,0.744444444,2024.744444,,
2024,1-Jan,18-Feb,Marathon,8,2:03:27,7407,Deresa GELETA,14-Jan-96,ETH,1,28.11506849,Sevilla (ESP),1252,0.130555556,2024.130556,,
2024,1-Jan,29-Sep,Marathon,9,2:03:31,7411,Haymanot ALEW,11-Nov-97,ETH,3,26.90136986,Berlin (GER),1250,0.744444444,2024.744444,,
2024,1-Jan,29-Sep,Marathon,10,2:03:37,7417,Stephen KIPROP,8-Sep-99,KEN,4,25.07671233,Berlin (GER),1249,0.744444444,2024.744444,,
2024,1-Jan,18-Feb,Marathon,11,2:03:47,7427,Morhad AMDOUNI,21-Jun-88,FRA,2,35.68493151,Sevilla (ESP),1245,0.130555556,2024.130556,,
2024,1-Jan,21-Apr,Marathon,12,2:04:01,7441,Alexander MUNYAO,10-Sep-96,KEN,1,27.63013699,London (GBR),1241,0.305555556,2024.305556,,
2024,1-Jan,21-Apr,Marathon,13,2:04:15,7455,Kenenisa BEKELE,13-Jun-82,ETH,2,41.88493151,London (GBR),1237,0.305555556,2024.305556,,
2024,1-Jan,3-Mar,Marathon,14,2:04:18,7458,Vincent Kipkemoi NGETICH,3-Jan-99,KEN,3,25.18082192,Tokyo (JPN),1236,0.172222222,2024.172222,,
2024,1-Jan,28-Apr,Marathon,15,2:04:24,7464,Bernard Kiprop KOECH,31-Jan-88,KEN,1,36.26575342,Hamburg (GER),1234,0.325,2024.325,,
2024,1-Jan,1-Dec,Marathon,15,2:04:24,7464,Daniel MATEIKO,4-Aug-98,KEN,3,26.34520548,Valencia (ESP),1234,0.916666667,2024.916667,,
2024,1-Jan,29-Sep,Marathon,17,2:04:35,7475,Hailemaryam KIROS,5-Feb-97,ETH,5,27.66575342,Berlin (GER),1230,0.744444444,2024.744444,,
2024,1-Jan,1-Dec,Marathon,18,2:04:38,7478,Alphonce Felix SIMBU,14-Feb-92,TAN,4,32.81917808,Valencia (ESP),1229,0.916666667,2024.916667,,
2024,1-Jan,13-Oct,Marathon,19,2:04:39,7479,Mohamed ESA,11-Sep-00,ETH,2,24.10410959,"Chicago, IL (USA)",1229,0.783333333,2024.783333,,
2024,1-Jan,1-Dec,Marathon,20,2:04:40,7480,Tadesse ABRAHAM,12-Aug-82,SUI,5,42.33424658,Valencia (ESP),1229,0.916666667,2024.916667,,
2024,1-Jan,1-Dec,Marathon,21,2:04:44,7484,Chimdessa DEBELE,13-Sep-03,ETH,6,21.23287671,Valencia (ESP),1227,0.916666667,2024.916667,,
2024,1-Jan,1-Dec,Marathon,21,2:04:44,7484,Maru TEFERI,17-Aug-92,ISR,7,32.31232877,Valencia (ESP),1227,0.916666667,2024.916667,,
2024,1-Jan,14-Apr,Marathon,23,2:04:45,7485,Abdi NAGEEYE,2-Mar-89,NED,1,35.14246575,Rotterdam (NED),1227,0.286111111,2024.286111,,
2024,1-Jan,1-Dec,Marathon,23,2:04:45,7485,Hillary KIPKOECH,20-Dec-98,KEN,8,25.96712329,Valencia (ESP),1227,0.916666667,2024.916667,,
2024,1-Jan,14-Apr,Marathon,25,2:04:50,7490,Amedework WALELEGN,11-Mar-99,ETH,2,25.11232877,Rotterdam (NED),1226,0.286111111,2024.286111,,
