year,sample_date,date,event_m,rank,mark,time,athlete,dob,country,position,age,venue,score,frac,frac_year
2024,1-Jan,13-Oct-24,Marathon,1,2:09:56,7796,Ruth CHEPNGETICH,8-Aug-94,KEN,1,,"Chicago, IL (USA)",1312,0.783333333,2024.783333
2024,1-Jan,3-Mar-24,Marathon,2,2:15:55,8155,Sutume Asefa KEBEDE,11-Dec-94,ETH,1,,Tokyo (JPN),1252,0.172222222,2024.172222
2024,1-Jan,7-Jan-24,Marathon,3,2:16:07,8167,Tigist KETEMA,15-Sep-98,ETH,1,,Dubai (UAE),1250,0.016666667,2024.016667
2024,1-Jan,3-Mar-24,Marathon,4,2:16:14,8174,Rosemary WANJIRU,9-Dec-94,KEN,2,,Tokyo (JPN),1249,0.172222222,2024.172222
2024,1-Jan,21-Apr-24,Marathon,5,2:16:16,8176,Peres JEPCHIRCHIR,27-Sep-93,KEN,1,,London (GBR),1249,0.305555556,2024.305556
2024,1-Jan,21-Apr-24,Marathon,6,2:16:23,8183,Tigst ASSEFA,3-Dec-96,ETH,2,,London (GBR),1248,0.305555556,2024.305556
2024,1-Jan,21-Apr-24,Marathon,7,2:16:24,8184,Joyciline JEPKOSGEI,28-Dec-93,KEN,3,,London (GBR),1247,0.305555556,2024.305556
2024,1-Jan,21-Apr-24,Marathon,8,2:16:34,8194,Megertu ALEMU,12-Oct-97,ETH,4,,London (GBR),1246,0.305555556,2024.305556
2024,1-Jan,29-Sep-24,Marathon,9,2:16:42,8202,Tigist KETEMA,15-Sep-98,ETH,1,,Berlin (GER),1244,0.744444444,2024.744444
2024,1-Jan,1-Dec-24,Marathon,10,2:16:49,8209,Megertu ALEMU,12-Oct-97,ETH,1,,Valencia (ESP),1243,0.916666667,2024.916667
2024,1-Jan,20-Oct-24,Marathon,11,2:16:52,8212,Yalemzerf YEHUALAW,3-Aug-99,ETH,1,,Amsterdam (NED),1243,0.802777778,2024.802778
2024,1-Jan,3-Mar-24,Marathon,12,2:16:58,8218,Amane Beriso SHANKULE,13-Oct-91,ETH,3,,Tokyo (JPN),1242,0.172222222,2024.172222
2024,1-Jan,27-Oct-24,Marathon,13,2:17:25,8245,Hawi FEYSA,1-Feb-99,ETH,1,,Frankfurt (GER),1237,0.822222222,2024.822222
2024,1-Jan,13-Oct-24,Marathon,14,2:17:32,8252,Sutume Asefa KEBEDE,11-Dec-94,ETH,2,,"Chicago, IL (USA)",1236,0.783333333,2024.783333
2024,1-Jan,13-Oct-24,Marathon,15,2:17:51,8271,Irine Chepet CHEPTAI,4-Feb-92,KEN,3,,"Chicago, IL (USA)",1233,0.783333333,2024.783333
2024,1-Jan,3-Mar-24,Marathon,16,2:18:05,8285,Sifan HASSAN,1-Jan-93,NED,4,,Tokyo (JPN),1231,0.172222222,2024.172222
2024,1-Jan,7-Jan-24,Marathon,17,2:18:09,8289,Ruti AGA,16-Jan-94,ETH,2,,Dubai (UAE),1230,0.016666667,2024.016667
2024,1-Jan,28-Apr-24,Marathon,18,2:18:22,8302,Irine Chepet CHEPTAI,4-Feb-92,KEN,1,,Hamburg (GER),1228,0.325,2024.325
