Year,sample_date,date,race,name,place,time_m,time_s,avg_yr_time_s,supershoe_era,frac_year,gender,elevation_gain_m,elevation_loss_m,net_elevation_m,temp_at_start_c,wind_direction,wind_mph,rainy_y_or_n,"stack data, code supershoe_era, weather variables, elevation",
2010,1-Jan,28-Feb,Tokyo,Alevtina Biktimirova,1,2:34:39,9279,9557,0,2010.16,1,98,134,-36,4,S,6,N,lm(time~year.decimal+year.decimal^2+factor(Race)+factor(Name)+Place+Supershoe_era+weather_controls,
2010,1-Jan,28-Feb,Tokyo,Robe Guta,2,2:36:29,9389,,0,2010.16,1,98,134,-36,4,S,6,N,"women's data, lm()",
2010,1-Jan,28-Feb,Tokyo,Nuta Olaru,3,2:36:42,9402,,0,2010.16,1,98,134,-36,4,S,6,N,"Nike sponsorship (0,1)",
2010,1-Jan,28-Feb,Tokyo,Maki kouno,4,2:39:01,9541,,0,2010.16,1,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Yang Jing,5,2:41:04,9664,,0,2010.16,1,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Yumi Sato,6,2:43:01,9781,,0,2010.16,1,98,134,-36,4,S,6,N,,
2010,1-Jan,28-Feb,Tokyo,Wakana Hanadou,7,2:44:03,9843,,0,2010.16,1,98,134,-36,4,S,6,N,,
2011,1-Jan,27-Feb,Tokyo,Noriko Higuchi,1,2:28:49,8929,9052,0,2011.16,1,98,134,-36,8,SW,2,N,lasso regression for robustness,
2011,1-Jan,27-Feb,Tokyo,Tatyana Pushkareva,2,2:28:56,8936,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Yoko Shibui,3,2:29:03,8943,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Misaki Katsumata,4,2:31:10,9070,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Sumiko Suzuki,5,2:32:02,9122,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Rina Yamazaki,6,2:32:51,9171,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2011,1-Jan,27-Feb,Tokyo,Shoko Miyazaki,7,2:33:10,9190,,0,2011.16,1,98,134,-36,8,SW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Atsede Habtamu,1,2:25:28,8728,8806,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Yeshi Esayias,2,2:26:00,8760,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Helena Kirop,3,2:26:02,8762,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Eri Okubo,4,2:26:08,8768,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Tatyana Aryasova,5,2:26:46,8806,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Lishan Dula,6,2:28:22,8902,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2012,1-Jan,26-Feb,Tokyo,Eyerusalem Kuma,7,2:28:36,8916,,0,2012.15,1,98,134,-36,6,SSW,2,N,,
2013,1-Jan,24-Feb,Tokyo,Aberu Kebede,1,2:25:34,8734,8857,0,2013.15,1,98,134,-36,6,SE,13,N,,
2013,1-Jan,24-Feb,Tokyo,Yeshi Esayias,2,2:26:01,8761,,0,2013.15,1,98,134,-36,6,SE,13,N,,
2013,1-Jan,24-Feb,Tokyo,Irina Miketenko,3,2:26:41,8801,,0,2013.15,1,98,134,-36,6,SE,13,N,,
